Var1 Var2 Var3 Var4 Var5
1 -0.78565466854692 0.186191444386086 0.589982616547176 C3
2 0.7928139503794 0.158524265123769 0.588486276348717 C4
3 0.0204391079588574 0.247039001821041 0.968789953728418 Cz
4 -0.709657750715007 0.505768974059688 0.490493243305887 F3
5 0.70632868490937 0.512711059888259 0.488085195373163 F4
6 -0.895034480086561 0.445995484873793 -0.00114320967893856 F7
7 0.902106171680498 0.43136254967033 -0.0114370344874963 F8
8 -0.388368738503352 0.902526708155905 0.186051777789358 Fp1
9 0.403173342050658 0.894069559403691 0.195168847942987 Fp2
10 -0.0199109291881046 0.668623359262219 0.743334620711139 Fz
11 -0.350036948302498 -0.933311667994891 0.0800216546171673 O1
12 0.375334308935234 -0.922395728170218 0.0911607217470488 O2
13 -0.665543427863726 -0.592900912464687 0.453343637460528 P3
14 0.672978517292091 -0.594045139882307 0.440692962328137 P4
15 -0.925015398991839 -0.379476808201352 0.0185435612891153 P7
16 0.91880738235429 -0.393804356110951 0.0266668940692007 P8
17 -0.000827648037267781 -0.681597160990613 0.731727152105389 Pz
18 -0.985358781570588 0.162807963186557 -0.0506126338454309 T7
19 0.986902135762174 0.159853612965515 -0.0217024618403385 T8
