Var1 Var2 Var3 Var4 Var5
1 -67.1028435722966 -12.0465550173507 64.9444627175291 C3
2 67.1079337707375 -12.044942954847 64.9636993298953 C4
3 -0.000753157131899607 -9.01081209601004 98.87327635244 Cz
4 -50.7689693391188 49.4869348076135 43.950352530523 F3
5 51.1855960333298 50.0768714854963 44.5615921089282 F4
6 -70.6527898908701 38.2955601719049 -2.80373697065157 F7
7 70.9592746473524 38.5597801255661 -2.68981188420699 F8
8 -31.7288255365866 82.2540985934713 -2.31123381921772 Fp1
9 31.8858014223972 82.7119726962323 -2.19661863970991 Fp2
10 -0.000319419780495989 57.9670306021065 66.95981200983 Fz
11 -30.6985442630511 -113.556384162464 7.14753972220126 O1
12 30.420186629358 -112.771259781249 6.85427932268099 O2
13 -55.9170153414185 -80.4088590305413 57.3717761282509 P3
14 55.0903389726741 -79.527476803008 56.1317822772258 P4
15 -74.9428067165988 -70.8042830601946 2.68231689395252 P7
16 73.7535163186641 -69.9973184879244 2.19880895811173 P8
17 -0.00290069878491739 -84.2511823749689 80.5811868722239 Pz
18 -83.6503155887799 -14.5540173887778 -1.76748283416773 T7
19 84.238688655463 -14.5163186275787 -1.58080643757922 T8
